dataset,Method,Source,Success (%),Decoded CVR (%),KDE,Effort,Latency (s)
uci,EGD (this session),v5 (this session),31.1±37.0,0.0±0.0,-11.709±1.529,10.26±4.48,0.0045±0.0011
uci,EGD-euclidean (this session),v5 (this session),0.0±0.0,--,--,--,--
uci,"Old latent-pruning (this session, controlled rerun)",v5 (this session),71.8±9.6,57.8±9.5,-7.739±0.146,0.21±0.09,0.0022±0.0000
uci,DSR-full (v4),"REUSED from experiments_v4, NOT rerun",0.0 (no viable tau),--,--,--,--
uci,DiCE,"REUSED from experiments_v3, NOT rerun",67.6$\pm$30.0,100.0$\pm$0.0,-11.409$\pm$1.538,7.66$\pm$0.18,0.0070$\pm$0.0036
uci,FACE,"REUSED from experiments_v3, NOT rerun",100.0$\pm$0.0,92.7$\pm$4.7,-7.157$\pm$0.076,8.54$\pm$0.69,0.0033$\pm$0.0001
uci,REVISE (v3),"REUSED from experiments_v3, NOT rerun",95.4$\pm$7.9,100.0$\pm$0.0,-7.311$\pm$0.135,9.31$\pm$0.61,0.0115$\pm$0.0040
