dataset,seed,cell,patient_idx,success,abstain_stage,latency_sec,n_candidates_tried,path_len,decoded_cvr_hop,decoded_cvr_endpoint,kde,effort,terminal_risk
uci,0,old_latent_pruning,8,True,,0.0021096670534461737,,2.0,True,True,-7.491471145485034,0.203983336687088,
uci,0,old_latent_pruning,9,False,,0.00196883303578943,,,,,,,
uci,0,old_latent_pruning,11,False,,0.00200824998319149,,,,,,,
uci,0,old_latent_pruning,14,True,,0.002065541921183467,,2.0,True,True,-7.621817262334416,0.03878415748476982,
uci,0,old_latent_pruning,16,True,,0.0021704169921576977,,2.0,False,False,-7.428369791153584,0.03273347392678261,
uci,0,old_latent_pruning,20,True,,0.0021014169324189425,,2.0,True,True,-7.45863792547708,0.30270230770111084,
uci,0,old_latent_pruning,24,True,,0.0021544171031564474,,2.0,False,False,-7.773566756465181,0.17132842540740967,
uci,0,old_latent_pruning,28,False,,0.001926999888382852,,,,,,,
uci,0,old_latent_pruning,30,True,,0.0020509170135483146,,2.0,True,True,-7.6632017927720835,0.04204137250781059,
uci,0,old_latent_pruning,32,False,,0.0019556250190362334,,,,,,,
uci,0,old_latent_pruning,34,True,,0.0020401249639689922,,2.0,True,True,-7.597260226673098,0.4470084309577942,
uci,0,old_latent_pruning,38,True,,0.0021346670109778643,,2.0,True,True,-7.625819616617015,0.07835675776004791,
uci,0,old_latent_pruning,39,True,,0.002180041978135705,,2.0,True,True,-7.2340182539611355,0.11671696603298187,
uci,0,old_latent_pruning,44,True,,0.002065707929432392,,2.0,False,False,-7.3992302540974535,0.07409851998090744,
uci,0,old_latent_pruning,45,True,,0.002412165980786085,,2.0,False,False,-7.504204681186288,0.05506153777241707,
uci,0,old_latent_pruning,50,False,,0.0020065410062670708,,,,,,,
uci,0,old_latent_pruning,52,False,,0.0019448749953880906,,,,,,,
uci,0,old_latent_pruning,53,True,,0.0020264580380171537,,2.0,False,False,-7.488841888134019,0.11831896752119064,
uci,0,old_latent_pruning,55,False,,0.0019624170381575823,,,,,,,
uci,0,old_latent_pruning,57,False,,0.002031374955549836,,,,,,,
uci,1,egd_riemannian,6,False,risk_check,0.004669290967285633,20.0,,,,,,
uci,1,egd_riemannian,10,False,risk_check,0.004416750045493245,20.0,,,,,,
uci,1,egd_riemannian,15,False,risk_check,0.004301334032788873,20.0,,,,,,
uci,1,egd_riemannian,16,False,risk_check,0.004214958054944873,20.0,,,,,,
uci,1,egd_riemannian,19,False,risk_check,0.004501249990426004,20.0,,,,,,
uci,1,egd_riemannian,21,False,risk_check,0.004206583020277321,20.0,,,,,,
uci,1,egd_riemannian,22,False,risk_check,0.004219625028781593,20.0,,,,,,
uci,1,egd_riemannian,26,False,risk_check,0.00429095805156976,20.0,,,,,,
uci,1,egd_riemannian,29,False,risk_check,0.004222583025693893,20.0,,,,,,
uci,1,egd_riemannian,32,False,risk_check,0.0042142500169575214,20.0,,,,,,
