dataset,Method,Source,Success (%),Decoded CVR (%),KDE,Effort,Latency (s)
nhanes_real,EGD (this session),v5 (this session),1.0±1.4,0.0±0.0,-11.283±0.380,6.95±2.78,0.0239±0.0002
nhanes_real,EGD-euclidean (this session),v5 (this session),0.2±0.4,0.0±0.0,-9.379±1.050,3.20±0.10,0.0207±0.0005
nhanes_real,"Old latent-pruning (this session, controlled rerun)",v5 (this session),45.5±3.0,78.7±6.4,-6.965±0.053,4.90±0.52,0.0115±0.0003
nhanes_real,"DSR-full (v4, best q=0.05)","REUSED from experiments_v4, NOT rerun",23.4±7.3,0.0,--,--,--
nhanes_real,DiCE,"REUSED from experiments_v3, NOT rerun",57.2$\pm$0.8,100.0$\pm$0.0,-8.699$\pm$0.094,2.39$\pm$0.05,0.0071$\pm$0.0001
nhanes_real,FACE,"REUSED from experiments_v3, NOT rerun",100.0$\pm$0.0,99.6$\pm$0.4,-7.544$\pm$0.024,4.55$\pm$0.11,0.0914$\pm$0.0001
nhanes_real,REVISE (v3),"REUSED from experiments_v3, NOT rerun",90.5$\pm$2.3,100.0$\pm$0.0,-6.804$\pm$0.111,5.81$\pm$0.31,0.0087$\pm$0.0007
