method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed,n_diverse_cfs
growing_spheres_new,0,True,0.005903957993723452,True,-10.88976306300355,7.286250517316841,uci,0,
dice_new,0,True,0.14381833304651082,True,-68.76820828757795,22.35279083251953,uci,0,4.0
growing_spheres_new,1,True,0.0069047079887241125,True,-9.111547083565796,8.575458383144653,uci,0,
dice_new,1,True,0.12222404195927083,False,-16.701260858997102,21.074743270874023,uci,0,4.0
growing_spheres_new,4,True,0.005354875000193715,True,-8.837867911089496,6.76827087388294,uci,0,
dice_new,4,True,0.1353049579774961,False,-22.34162914312163,19.869361877441406,uci,0,4.0
growing_spheres_new,6,True,0.007941957912407815,True,-12.694117272824283,10.784215864389497,uci,0,
dice_new,6,True,0.1235688750166446,False,-40.55977873187186,27.719364166259766,uci,0,4.0
growing_spheres_new,7,True,0.0035505000269040465,True,-8.588824201782797,4.920647069407461,uci,0,
dice_new,7,True,0.12029695906676352,True,-39.28250172569374,22.141109466552734,uci,0,4.0
growing_spheres_new,8,True,0.006130624911747873,True,-17.005128535466802,5.800866106572837,uci,0,
dice_new,8,True,0.12213470903225243,True,-53.64227697618463,24.519519805908203,uci,0,4.0
growing_spheres_new,9,True,0.00329745898488909,True,-12.918966739547113,4.318442697091485,uci,0,
dice_new,9,True,0.12293495808262378,False,-45.51308066566872,25.659435272216797,uci,0,4.0
growing_spheres_new,11,True,0.0036744580138474703,True,-11.495212096827414,5.1573099391867405,uci,0,
dice_new,11,True,0.12153245904482901,True,-32.61995424430188,22.405031204223633,uci,0,4.0
growing_spheres_new,14,True,0.0060711250407621264,True,-9.777679907539728,7.0396119863883975,uci,0,
dice_new,14,True,0.12078870891127735,False,-51.398108352352644,22.689716339111328,uci,0,4.0
growing_spheres_new,16,True,0.006825334043242037,True,-9.881451116759775,8.575458383144653,uci,0,
dice_new,16,True,0.12242258398327976,True,-55.300016561032585,23.458106994628906,uci,0,4.0
growing_spheres_new,20,True,0.002005042042583227,True,-7.620281609858191,2.2531877363109563,uci,0,
dice_new,20,True,0.1258784169331193,False,-21.15717031172745,16.542512893676758,uci,0,4.0
growing_spheres_new,24,True,0.0032499589724466205,True,-11.97629796371655,4.199889004457818,uci,0,
dice_new,24,True,0.12524637498427182,True,-31.938123812419263,19.466533660888672,uci,0,4.0
growing_spheres_new,28,True,0.0026919159572571516,True,-16.032112283534953,3.2288208373033958,uci,0,
dice_new,28,True,0.12694516708143055,True,-37.188325073127075,19.089340209960938,uci,0,4.0
growing_spheres_new,30,True,0.0033861249685287476,True,-10.430014523588905,4.318442697091485,uci,0,
dice_new,30,True,0.12173270899802446,True,-49.915077040368644,24.524600982666016,uci,0,4.0
growing_spheres_new,32,True,0.004275709041394293,True,-14.360621152360387,4.78792025579841,uci,0,
dice_new,32,True,0.12751491705421358,True,-37.726740115202915,19.539264678955078,uci,0,4.0
growing_spheres_new,34,True,0.005020541953854263,True,-12.539568928400326,6.025778370695526,uci,0,
dice_new,34,True,0.12383525003679097,True,-51.183994248099964,21.0399112701416,uci,0,4.0
growing_spheres_new,38,True,0.008469208958558738,True,-17.15906120652641,11.39018673144801,uci,0,
dice_new,38,True,0.12604641600046307,True,-83.35112841474721,24.297292709350586,uci,0,4.0
growing_spheres_new,39,True,0.002053292002528906,True,-10.994957864141663,2.2531877363109554,uci,0,
dice_new,39,True,0.12100058293435723,True,-32.793122839854604,15.91362190246582,uci,0,4.0
growing_spheres_new,44,True,0.003146542003378272,True,-10.586317004567626,3.7904707678625273,uci,0,
dice_new,44,True,0.12152625003363937,True,-31.217182457429654,18.323949813842773,uci,0,4.0
growing_spheres_new,45,True,0.002028082963079214,True,-10.566783047117685,2.2531877363109563,uci,0,
dice_new,45,True,0.12036250007804483,True,-68.1782506034159,29.573532104492188,uci,0,4.0
growing_spheres_new,50,True,0.002819292014464736,True,-14.559699722490532,4.106958763831845,uci,0,
dice_new,50,True,0.12615287501830608,True,-42.02593629711713,21.90530776977539,uci,0,4.0
growing_spheres_new,52,True,0.004810999962501228,True,-10.030130099354281,5.971991115173519,uci,0,
dice_new,52,True,0.1449910419760272,True,-30.916948319828418,18.75267219543457,uci,0,4.0
growing_spheres_new,53,False,0.009709083009511232,,,,uci,0,
dice_new,53,True,0.12735054199583828,False,-98.76942850379065,48.898193359375,uci,0,4.0
growing_spheres_new,55,True,0.005348582984879613,True,-16.63232027640387,6.874392024039522,uci,0,
dice_new,55,True,0.12387795804534107,True,-44.54225886195225,24.57967185974121,uci,0,4.0
growing_spheres_new,57,True,0.004776624962687492,True,-12.056688448949195,7.278925084989937,uci,0,
dice_new,57,True,0.12503358290996403,True,-72.76691518051442,29.485441207885742,uci,0,4.0
growing_spheres_new,6,True,0.0029742500046268106,True,-9.352248375551914,3.3318989086432813,uci,1,
dice_new,6,True,0.12144595803692937,True,-43.387269256023195,21.690139770507812,uci,1,4.0
growing_spheres_new,10,True,0.005213250056840479,True,-8.905031680663786,7.226036959238569,uci,1,
dice_new,10,True,0.12479362497106194,True,-65.22605774784012,22.451284408569336,uci,1,4.0
growing_spheres_new,15,True,0.0034090839326381683,True,-8.26670744113772,4.9684781341268875,uci,1,
dice_new,15,True,0.12365004199091345,True,-45.91667306731994,17.46398162841797,uci,1,4.0
growing_spheres_new,16,True,0.0033350419253110886,True,-13.563558105505646,4.115530384469076,uci,1,
dice_new,16,True,0.12304933299310505,False,-25.575438348972778,14.339341163635254,uci,1,4.0
growing_spheres_new,19,False,0.008278416935354471,,,,uci,1,
dice_new,19,False,0.12200162489898503,,,,uci,1,0.0
growing_spheres_new,21,True,0.00425129197537899,True,-10.347337698554288,5.536340151196028,uci,1,
dice_new,21,True,0.12407787493430078,True,-24.696746590460727,15.258539199829102,uci,1,4.0
growing_spheres_new,22,False,0.008227040991187096,,,,uci,1,
dice_new,22,True,0.121667709085159,True,-92.17952459843902,34.80955505371094,uci,1,4.0
growing_spheres_new,26,True,0.005026290891692042,True,-13.939671247598401,6.5878237023770465,uci,1,
dice_new,26,True,0.12338366592302918,True,-59.509264557243995,24.20572853088379,uci,1,4.0
growing_spheres_new,29,True,0.005197582999244332,True,-8.415406796072835,7.226036959238569,uci,1,
dice_new,29,True,0.12597833294421434,True,-68.74002072117378,26.17522430419922,uci,1,4.0
growing_spheres_new,32,True,0.006582333939149976,True,-10.977506349246443,8.553857009898065,uci,1,
dice_new,32,True,0.12357558298390359,False,-99.71735225673247,28.394123077392578,uci,1,4.0
growing_spheres_new,33,True,0.005834584007970989,True,-8.547973843916527,8.421501814817058,uci,1,
dice_new,33,True,0.12442537501920015,True,-57.402599100176054,27.95169448852539,uci,1,4.0
growing_spheres_new,39,True,0.005354290944524109,True,-8.146460770293313,7.226036959238569,uci,1,
