dataset,seed,patient_idx,n_valid_targets_exhaustive,certified_infeasible,resolved_by_2k,resolved_by_synth,confirmed_blindspot,unresolved
nhanes_real,0,621,0,True,,,False,False
nhanes_real,0,628,0,True,,,False,False
nhanes_real,0,629,0,True,,,False,False
nhanes_real,0,630,0,True,,,False,False
nhanes_real,0,633,0,True,,,False,False
nhanes_real,0,643,0,True,,,False,False
nhanes_real,0,644,0,True,,,False,False
nhanes_real,0,655,0,True,,,False,False
nhanes_real,0,660,0,True,,,False,False
nhanes_real,0,662,0,True,,,False,False
nhanes_real,0,665,0,True,,,False,False
nhanes_real,0,668,0,True,,,False,False
nhanes_real,0,684,0,True,,,False,False
nhanes_real,0,687,0,True,,,False,False
nhanes_real,0,690,0,True,,,False,False
nhanes_real,0,695,0,True,,,False,False
nhanes_real,0,698,0,True,,,False,False
nhanes_real,0,699,0,True,,,False,False
nhanes_real,0,700,0,True,,,False,False
nhanes_real,0,703,0,True,,,False,False
nhanes_real,0,705,0,True,,,False,False
nhanes_real,0,707,0,True,,,False,False
nhanes_real,0,710,0,True,,,False,False
nhanes_real,0,711,0,True,,,False,False
nhanes_real,0,712,0,True,,,False,False
nhanes_real,0,716,0,True,,,False,False
nhanes_real,0,718,0,True,,,False,False
nhanes_real,0,720,0,True,,,False,False
nhanes_real,0,721,0,True,,,False,False
nhanes_real,0,722,0,True,,,False,False
nhanes_real,0,723,0,True,,,False,False
nhanes_real,0,725,0,True,,,False,False
nhanes_real,0,726,0,True,,,False,False
nhanes_real,0,728,0,True,,,False,False
nhanes_real,0,729,0,True,,,False,False
nhanes_real,0,734,0,True,,,False,False
nhanes_real,0,739,0,True,,,False,False
nhanes_real,0,742,0,True,,,False,False
nhanes_real,0,744,0,True,,,False,False
nhanes_real,0,747,0,True,,,False,False
nhanes_real,0,751,0,True,,,False,False
nhanes_real,0,752,0,True,,,False,False
nhanes_real,0,759,0,True,,,False,False
nhanes_real,0,760,0,True,,,False,False
nhanes_real,0,764,0,True,,,False,False
nhanes_real,0,765,0,True,,,False,False
nhanes_real,0,767,0,True,,,False,False
nhanes_real,0,774,0,True,,,False,False
nhanes_real,0,775,0,True,,,False,False
nhanes_real,0,777,0,True,,,False,False
nhanes_real,0,788,0,True,,,False,False
nhanes_real,0,790,0,True,,,False,False
nhanes_real,0,792,0,True,,,False,False
nhanes_real,0,803,0,True,,,False,False
nhanes_real,0,809,0,True,,,False,False
nhanes_real,0,811,0,True,,,False,False
nhanes_real,0,815,0,True,,,False,False
nhanes_real,0,820,0,True,,,False,False
nhanes_real,0,821,0,True,,,False,False
nhanes_real,0,828,0,True,,,False,False
nhanes_real,0,831,0,True,,,False,False
nhanes_real,0,839,0,True,,,False,False
nhanes_real,0,847,0,True,,,False,False
nhanes_real,0,848,0,True,,,False,False
nhanes_real,0,856,0,True,,,False,False
nhanes_real,0,858,0,True,,,False,False
nhanes_real,0,861,0,True,,,False,False
nhanes_real,0,862,0,True,,,False,False
nhanes_real,0,866,0,True,,,False,False
nhanes_real,0,878,0,True,,,False,False
nhanes_real,0,881,0,True,,,False,False
nhanes_real,0,884,0,True,,,False,False
nhanes_real,0,888,0,True,,,False,False
nhanes_real,0,891,0,True,,,False,False
nhanes_real,0,895,0,True,,,False,False
nhanes_real,0,897,0,True,,,False,False
nhanes_real,0,898,0,True,,,False,False
nhanes_real,0,901,0,True,,,False,False
nhanes_real,0,902,0,True,,,False,False
nhanes_real,0,904,0,True,,,False,False
nhanes_real,1,0,0,True,,,False,False
nhanes_real,1,4,0,True,,,False,False
nhanes_real,1,8,0,True,,,False,False
nhanes_real,1,9,0,True,,,False,False
nhanes_real,1,12,0,True,,,False,False
nhanes_real,1,13,0,True,,,False,False
nhanes_real,1,14,0,True,,,False,False
nhanes_real,1,17,0,True,,,False,False
nhanes_real,1,19,0,True,,,False,False
nhanes_real,1,20,0,True,,,False,False
nhanes_real,1,21,0,True,,,False,False
nhanes_real,1,22,0,True,,,False,False
nhanes_real,1,23,0,True,,,False,False
nhanes_real,1,30,0,True,,,False,False
nhanes_real,1,31,0,True,,,False,False
nhanes_real,1,33,0,True,,,False,False
nhanes_real,1,39,0,True,,,False,False
nhanes_real,1,40,0,True,,,False,False
nhanes_real,1,41,0,True,,,False,False
nhanes_real,1,42,0,True,,,False,False
nhanes_real,1,44,0,True,,,False,False
nhanes_real,1,45,0,True,,,False,False
nhanes_real,1,51,0,True,,,False,False
nhanes_real,1,59,0,True,,,False,False
nhanes_real,1,61,0,True,,,False,False
nhanes_real,1,62,0,True,,,False,False
nhanes_real,1,66,0,True,,,False,False
nhanes_real,1,70,0,True,,,False,False
nhanes_real,1,72,0,True,,,False,False
nhanes_real,1,82,0,True,,,False,False
nhanes_real,1,85,0,True,,,False,False
nhanes_real,1,88,0,True,,,False,False
nhanes_real,1,94,0,True,,,False,False
nhanes_real,1,98,0,True,,,False,False
nhanes_real,1,99,0,True,,,False,False
nhanes_real,1,102,0,True,,,False,False
nhanes_real,1,104,0,True,,,False,False
nhanes_real,1,108,0,True,,,False,False
nhanes_real,1,111,0,True,,,False,False
nhanes_real,1,116,0,True,,,False,False
nhanes_real,1,117,0,True,,,False,False
nhanes_real,1,122,0,True,,,False,False
nhanes_real,1,127,0,True,,,False,False
nhanes_real,1,131,0,True,,,False,False
nhanes_real,1,132,0,True,,,False,False
nhanes_real,1,135,0,True,,,False,False
nhanes_real,1,137,0,True,,,False,False
nhanes_real,1,142,0,True,,,False,False
nhanes_real,1,159,0,True,,,False,False
nhanes_real,1,162,0,True,,,False,False
nhanes_real,1,165,0,True,,,False,False
nhanes_real,1,167,0,True,,,False,False
nhanes_real,1,168,0,True,,,False,False
nhanes_real,1,170,0,True,,,False,False
nhanes_real,1,175,0,True,,,False,False
nhanes_real,1,185,0,True,,,False,False
