cell,success_rate_mean,success_rate_std,decoded_cvr_hop_mean,decoded_cvr_hop_std,decoded_cvr_endpoint_mean,decoded_cvr_endpoint_std,kde_mean,kde_std,effort_mean,effort_std,latency_mean,latency_std,cvr_hard_mean,cvr_hard_std
euclidean_hard,45.48372729498217,3.030845854914308,79.28658431606422,5.5611362902947405,78.78989065531536,5.702969552029043,-6.951769305798408,0.05439068812719987,4.800579628373981,0.14721397426954413,0.011395079622180494,0.0002646980799615992,,
euclidean_none,100.0,0.0,97.12349505661551,0.6308917715769077,97.12349505661551,0.6308917715769077,-6.964562015571822,0.06866560080782581,1.7993454754724254,0.15667244445766046,0.012999846743905483,0.00022163113069627075,,
euclidean_soft_lam0.1,100.0,0.0,94.1131046732651,1.5340048285290957,94.06816085304038,1.535677180609133,-6.941952446860675,0.06219569893367111,1.9020363079120544,0.13135846967079284,0.012968817837205193,0.0002733397658912357,,
euclidean_soft_lam1.0,100.0,0.0,84.19513223871313,3.68277372117672,82.20237426314883,3.6885782381592342,-6.84542861542578,0.04896729471356865,3.671840713916054,0.17294088305062244,0.013264062837931597,0.0008764433625401835,,
euclidean_soft_lam10.0,100.0,0.0,82.41872585748185,4.524519603406883,79.9975923191888,4.902407309568748,-6.823433491622149,0.03604432843589202,4.40661047286549,0.22903122896938255,0.013162501788381856,0.0004995767018869938,,
euclidean_soft_lam100.0,100.0,0.0,82.41872585748185,4.524519603406883,79.9975923191888,4.902407309568748,-6.823433491622149,0.03604432843589202,4.40661047286549,0.22903122896938255,0.013237082064505537,0.0005246717930960829,,
riemannian_hard,45.48372729498217,3.030845854914308,82.55504480930671,6.640893640986987,81.01271465643615,6.965477700227021,-6.943422937528408,0.04925362716437005,5.004455745719215,0.22346897485236933,0.013120901979599526,0.004394480355271025,,
riemannian_none,100.0,0.0,97.31119144996646,0.6589305810686436,97.26379808503755,0.7210505430616102,-6.963019921733017,0.055409467518558235,1.8543360726793743,0.11894566775362245,0.013578465031166609,0.0002602816589729408,,
riemannian_soft_lam0.1,100.0,0.0,93.9703730938775,2.050922099050355,93.9238614659705,1.9803038575725342,-6.95547341009553,0.055937631380613695,2.0374491177138645,0.13581217777415117,0.014360933979002394,0.0019770965247502257,,
riemannian_soft_lam1.0,100.0,0.0,84.81367073703173,4.496709585821678,82.86695222973658,4.541705981400568,-6.865366919347856,0.050360431383462335,3.8837248011479395,0.19945048366644097,0.013071609851835123,0.0004727924579558133,,
riemannian_soft_lam10.0,100.0,0.0,83.22545540447932,5.319446204541891,80.43412415395608,5.604022491748793,-6.831278097434049,0.03648786068347226,4.655013816760966,0.22184775871143442,0.013167116995534637,0.0008913387671688037,,
riemannian_soft_lam100.0,100.0,0.0,83.22545540447932,5.319446204541891,80.43412415395608,5.604022491748793,-6.831278097434049,0.03648786068347226,4.655013816760966,0.22184775871143442,0.01333073097601097,0.0006584209163603799,,
DiCE,57.248233057705455,0.7817200456367948,,,100.0,0.0,-8.698949626539324,0.09357091949848753,2.3890566153860666,0.049388745439130924,0.00714516807045016,0.0001213527957672545,100.0,0.0
FACE,100.0,0.0,,,99.63088871374323,0.3516708067678818,-7.5442449415461095,0.023721780061629772,4.549176753976606,0.10825026471847424,0.09140268773279914,0.00010006733823941405,98.14773797014163,0.3422031873744713
GrowingSpheres,98.55484479782368,0.7802508694834804,,,100.0,0.0,-9.479836003918013,0.14465795196734285,3.0470805544203095,0.033213990757704606,0.0006293386863913731,1.442890958436365e-05,100.0,0.0
REVISE,90.51295590226019,2.256542881667362,,,100.0,0.0,-6.803518077499961,0.11097561103584211,5.808610163477711,0.3129502755600827,0.008678706235448762,0.0006921691039947263,100.0,0.0
