dataset,cell,seed,patient_idx,feasible_target_exists,classification,resolved_by_2k,resolved_by_synthetic
uci,dsr_full,4,57,False,certified_infeasible,False,False
uci,dsr_full,4,44,False,certified_infeasible,False,False
uci,dsr_full,4,45,False,certified_infeasible,False,False
uci,dsr_full,4,40,False,certified_infeasible,False,False
uci,dsr_full,4,11,False,certified_infeasible,False,False
uci,dsr_full,4,27,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,721,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,790,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,1,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,403,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,421,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,38,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,7,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,852,True,unresolved,False,False
nhanes_real,dsr_c1,0,888,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,582,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,234,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,12,True,unresolved,False,False
nhanes_real,dsr_c1,0,489,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,476,True,unresolved,False,False
nhanes_real,dsr_c1,0,113,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,643,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,856,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,502,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,197,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,344,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,698,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,590,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,712,False,certified_infeasible,False,False
nhanes_real,dsr_c1,0,535,True,unresolved,False,False
nhanes_real,dsr_c1,0,760,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,787,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,772,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,21,True,unresolved,False,False
nhanes_real,dsr_c1,1,798,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,99,True,unresolved,False,False
nhanes_real,dsr_c1,1,525,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,436,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,275,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,381,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,393,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,723,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,248,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,583,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,252,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,366,True,unresolved,False,False
nhanes_real,dsr_c1,1,785,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,20,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,521,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,752,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,686,True,unresolved,False,False
nhanes_real,dsr_c1,1,687,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,627,True,unresolved,False,False
nhanes_real,dsr_c1,1,59,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,744,False,certified_infeasible,False,False
nhanes_real,dsr_c1,1,206,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,559,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,146,True,unresolved,False,False
nhanes_real,dsr_c1,2,693,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,308,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,128,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,54,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,882,True,unresolved,False,False
nhanes_real,dsr_c1,2,521,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,429,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,193,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,64,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,615,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,191,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,796,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,905,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,116,False,certified_infeasible,False,False
nhanes_real,dsr_c1,2,848,False,certified_infeasible,False,False
