dataset,feature,mean_abs_err,std_err,mean_signed_err
uci,age,6.430147171020508,7.923964023590088,0.46408167481422424
uci,sex,0.47347259521484375,0.4700440466403961,-0.10066597908735275
uci,fasting_blood_sugar,0.20847472548484802,0.3354707658290863,-0.022654816508293152
uci,resting_bp,12.254076957702637,15.893776893615723,0.16794519126415253
uci,cholesterol,38.066680908203125,50.13856887817383,1.321372389793396
uci,max_heart_rate,14.27185344696045,17.968502044677734,0.7034938931465149
uci,oldpeak,0.6954783797264099,0.8660337924957275,-0.033799249678850174
uci,exercise_angina,0.3570162057876587,0.4231661260128021,-0.05340886488556862
uci,slope,0.48096519708633423,0.5277756452560425,-0.2885817885398865
nhanes,age,6.185660362243652,7.64508581161499,0.7611526846885681
nhanes,sex,0.49248194694519043,0.49500370025634766,-0.020192058756947517
nhanes,systolic_bp,9.056418418884277,11.292895317077637,0.3687872290611267
nhanes,diastolic_bp,6.741873264312744,8.351081848144531,0.4370133876800537
nhanes,cholesterol,15.308035850524902,19.590805053710938,1.3585516214370728
nhanes,bmi,3.6861894130706787,4.528661727905273,0.35865336656570435
nhanes,glycemic_hba1c,0.6199521422386169,0.7483659386634827,0.012921498157083988
