cell,success_rate_mean,success_rate_std,decoded_cvr_hop_mean,decoded_cvr_hop_std,decoded_cvr_endpoint_mean,decoded_cvr_endpoint_std,kde_mean,kde_std,effort_mean,effort_std,latency_mean,latency_std,cvr_hard_mean,cvr_hard_std
euclidean_hard,71.83162055335967,9.649279298444707,84.98809523809523,23.70140630843943,84.98809523809523,23.70140630843943,-7.394082401404762,0.21082411084389857,1.7127414073599947,1.3734524272357769,0.0010076170075466165,6.260365568158072e-05,,
euclidean_none,100.0,0.0,76.73754940711463,28.340720491915977,76.73754940711463,28.340720491915977,-7.495222689339192,0.23410978954530648,0.9633726753715882,0.8181458888198068,0.0010333201565586915,2.3949111384110916e-05,,
euclidean_soft_lam0.1,100.0,0.0,82.86403162055336,26.422112143497845,82.86403162055336,26.422112143497845,-7.47145331270728,0.22489344650958076,1.137989050211731,0.8152555233426413,0.0010392773354337115,2.3719416075989442e-05,,
euclidean_soft_lam1.0,100.0,0.0,90.94861660079052,17.90823556002418,90.94861660079052,17.90823556002418,-7.377228740879183,0.21159416902724107,1.7462732992294747,1.303582369808532,0.0010371342953169739,1.7443367272880134e-05,,
euclidean_soft_lam10.0,100.0,0.0,90.94861660079052,17.90823556002418,90.94861660079052,17.90823556002418,-7.375653010820625,0.21302190518775488,1.7558577962044197,1.322582278999622,0.0010440011855210648,2.7699388934966556e-05,,
euclidean_soft_lam100.0,100.0,0.0,90.94861660079052,17.90823556002418,90.94861660079052,17.90823556002418,-7.375653010820625,0.21302190518775488,1.7558577962044197,1.322582278999622,0.0010364015378552555,1.147395954087906e-05,,
riemannian_hard,71.83162055335967,9.649279298444707,83.55952380952381,26.878028754081193,83.55952380952381,26.878028754081193,-7.391952238145231,0.21267946153839226,1.7174577194576461,1.3832908728416387,0.001021580681085571,1.7111717219192287e-05,,
riemannian_none,100.0,0.0,71.40158102766799,32.96661299279025,73.1802371541502,30.803969620179625,-7.507260161130992,0.2485491477269058,0.9254420449191285,0.7917521469809847,0.001086726288566969,3.2319295089383254e-05,,
riemannian_soft_lam0.1,100.0,0.0,86.42134387351778,22.98483571970008,86.42134387351778,22.98483571970008,-7.455818360323771,0.22451422254124606,1.2697628089105895,0.746195355511741,0.0010517037849138427,2.6849208578308718e-05,,
riemannian_soft_lam1.0,100.0,0.0,90.0395256916996,19.930905974956318,90.0395256916996,19.930905974956318,-7.374528572606032,0.21329025100148197,1.7527050584049326,1.3193576849683089,0.0010393056640609914,2.0828136840347052e-05,,
riemannian_soft_lam10.0,100.0,0.0,90.0395256916996,19.930905974956318,90.0395256916996,19.930905974956318,-7.374528572606032,0.21329025100148197,1.7527050584049326,1.3193576849683089,0.0010408752532900804,3.177497669566075e-05,,
riemannian_soft_lam100.0,100.0,0.0,90.0395256916996,19.930905974956318,90.0395256916996,19.930905974956318,-7.374528572606032,0.21329025100148197,1.7527050584049326,1.3193576849683089,0.0010563298062349108,4.813407748854031e-05,,
DiCE,67.62845849802372,30.033882349044397,,,100.0,0.0,-11.409490174045816,1.5382452278610692,7.662603275499772,0.17523065534079899,0.007042777381315983,0.0037194385435331398,100.0,0.0
FACE,100.0,0.0,,,92.68221343873518,4.701837796430019,-7.157308934585411,0.0758334438219993,8.540391776778481,0.6877440358088257,0.0034045684178531377,8.835510848665408e-05,84.88616600790513,6.608409841201324
GrowingSpheres,58.04505928853755,17.735623504039435,,,100.0,0.0,-14.760131852229105,1.3236927190080086,8.968490594173167,0.7351684948734015,0.001151010306444332,8.961375079223215e-05,100.0,0.0
