dataset,seed,cell,patient_idx,success,abstain_stage,latency_sec,n_candidates_tried,path_len,decoded_cvr_hop,decoded_cvr_endpoint,kde,effort,terminal_risk
nhanes_real,0,egd_riemannian,124,False,risk_check,0.022287582978606224,20.0,,,,,,
nhanes_real,0,egd_riemannian,126,False,risk_check,0.023423500009812415,20.0,,,,,,
nhanes_real,0,egd_riemannian,127,False,risk_check,0.02346675004810095,20.0,,,,,,
nhanes_real,0,egd_riemannian,129,False,risk_check,0.024288667016662657,20.0,,,,,,
nhanes_real,0,egd_riemannian,132,False,risk_check,0.02288254105951637,20.0,,,,,,
nhanes_real,0,egd_riemannian,133,False,risk_check,0.02336458396166563,20.0,,,,,,
nhanes_real,0,egd_riemannian,134,False,risk_check,0.023106166976504028,20.0,,,,,,
nhanes_real,0,egd_riemannian,139,False,risk_check,0.02462237502913922,20.0,,,,,,
nhanes_real,0,egd_riemannian,140,False,risk_check,0.023619125015102327,20.0,,,,,,
nhanes_real,0,egd_riemannian,143,False,risk_check,0.02251670800615102,20.0,,,,,,
nhanes_real,0,egd_riemannian,144,False,risk_check,0.022646124940365553,20.0,,,,,,
nhanes_real,0,egd_riemannian,145,False,risk_check,0.022980042034760118,20.0,,,,,,
nhanes_real,0,egd_riemannian,147,False,risk_check,0.022090167040005326,20.0,,,,,,
nhanes_real,0,egd_riemannian,149,False,risk_check,0.02174208394717425,20.0,,,,,,
nhanes_real,0,egd_riemannian,150,False,risk_check,0.024236375000327826,20.0,,,,,,
nhanes_real,0,egd_riemannian,155,False,risk_check,0.025015374994836748,20.0,,,,,,
nhanes_real,0,egd_riemannian,156,False,risk_check,0.023322791908867657,20.0,,,,,,
nhanes_real,0,egd_riemannian,158,False,risk_check,0.02438774995971471,20.0,,,,,,
nhanes_real,0,egd_riemannian,160,False,risk_check,0.022894833935424685,20.0,,,,,,
nhanes_real,0,egd_riemannian,162,False,risk_check,0.023930624942295253,20.0,,,,,,
nhanes_real,0,egd_riemannian,163,False,risk_check,0.022390125086531043,20.0,,,,,,
nhanes_real,0,egd_riemannian,164,False,risk_check,0.023862750036641955,20.0,,,,,,
nhanes_real,0,egd_riemannian,166,False,risk_check,0.023302000015974045,20.0,,,,,,
nhanes_real,0,egd_riemannian,167,False,risk_check,0.0234995000064373,20.0,,,,,,
nhanes_real,0,egd_riemannian,168,False,risk_check,0.023570709046907723,20.0,,,,,,
nhanes_real,0,egd_riemannian,171,False,risk_check,0.023124667000956833,20.0,,,,,,
nhanes_real,0,egd_riemannian,173,False,risk_check,0.024777958053164184,20.0,,,,,,
nhanes_real,0,egd_riemannian,174,False,risk_check,0.02275595802348107,20.0,,,,,,
nhanes_real,0,egd_riemannian,179,False,risk_check,0.022940500057302415,20.0,,,,,,
nhanes_real,0,egd_riemannian,180,False,risk_check,0.022570291999727488,20.0,,,,,,
nhanes_real,0,egd_riemannian,187,False,risk_check,0.03207833401393145,20.0,,,,,,
nhanes_real,0,egd_riemannian,188,False,risk_check,0.022709416109137237,20.0,,,,,,
