patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
587,True,1.0,"[3631, 2989]",0.8862306594848632,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.689718487103117,1.5227748155593872,0.012623250018805265,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
588,True,1.0,"[3631, 2396]",0.6428899586200714,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.623906782882045,1.4806220531463623,0.012422833009622991,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
595,True,1.0,"[3631, 1777]",0.617807126045227,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.355496051775351,1.4196364879608154,0.012414333003107458,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
596,True,1.0,"[3631, 1388]",0.4035719439387322,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.171958298545672,0.3315405249595642,0.012583250005263835,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
599,True,1.0,"[3631, 1666]",0.5180161714553833,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.044283701354136,0.9540218710899353,0.012262417003512383,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
600,True,1.0,"[3631, 3220]",0.450099116563797,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.1530964321674855,1.1414793729782104,0.0127737500006333,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
603,True,1.0,"[3631, 677]",1.7126991271972656,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.780669954425662,9.133783340454102,0.012468750006519258,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
608,True,1.0,"[3631, 3211]",0.8460530757904052,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.408916380867373,1.6816716194152832,0.01312379102455452,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
609,True,1.0,"[3631, 180]",1.6684259176254272,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.896599398614368,2.3176393508911133,0.013261707965284586,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
610,True,1.0,"[3631, 1101]",0.719646441936493,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.0666695182361305,1.4371116161346436,0.012423290987499058,nhanes_real,2,riemannian,soft,0.1,riemannian_soft_lam0.1
