patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
8,True,1.0,"[237, 91]",0.13175508603453637,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.555488957002121,0.06016281992197037,0.0020223750034347177,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
9,True,1.0,"[237, 54]",0.21100437436252834,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.9426437849115334,0.023349765688180923,0.0020805419771932065,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
11,True,1.0,"[237, 88]",0.5394295573234558,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-8.017643887273966,0.6835485696792603,0.0020793750300072134,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
14,True,1.0,"[237, 70]",0.16358189284801483,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.608697822656296,0.3424997627735138,0.002062042010948062,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
16,True,1.0,"[237, 50]",0.16327491253614426,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.270942105708437,0.15881425142288208,0.0020243749604560435,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
20,True,1.0,"[237, 28]",0.15677392333745957,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.489508006538868,0.11419540643692017,0.0020282079931348562,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
24,True,1.0,"[237, 56]",0.04595966637134552,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.7820534164934045,0.09594172239303589,0.001995833998080343,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
28,True,1.0,"[237, 19]",0.29374436736106874,1.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.621190292676918,0.2018737941980362,0.00201629102230072,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
30,True,1.0,"[237, 19]",0.014338991604745388,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.653480745801561,0.029338082298636436,0.002069749985821545,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
32,True,1.0,"[237, 88]",0.5126300573348999,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.998484600368558,0.6535968780517578,0.0020084590069018304,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
34,True,1.0,"[237, 58]",0.11665153726935387,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.39958965102765,0.026972264051437378,0.0020491250324994326,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
38,True,1.0,"[237, 70]",0.10229124873876572,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.623748232651146,0.2164475917816162,0.0020463329856283963,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
39,True,1.0,"[237, 173]",0.16107964366674424,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.148727350029381,0.17912466824054718,0.0020288340165279806,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
44,True,1.0,"[237, 5]",0.005528796464204788,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.289108364824157,0.016981080174446106,0.002049791975878179,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
45,True,1.0,"[237, 149]",0.20861476920545102,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.448019507234985,0.02198074385523796,0.0020838750060647726,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
50,True,1.0,"[237, 56]",0.2193423368036747,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.795295151247658,0.05410711467266083,0.002029750030487776,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
52,True,1.0,"[237, 39]",0.2237178783863783,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.829152995185841,0.035732924938201904,0.002010333992075175,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
53,True,1.0,"[237, 97]",0.025896873325109482,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.362571798918867,0.06568252295255661,0.001971165998838842,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
55,True,1.0,"[237, 54]",0.1449807457625866,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.92717183675212,0.08562057465314865,0.002056040975730866,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
57,True,1.0,"[237, 88]",0.2847521498799324,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.915307160438992,0.1740240603685379,0.00202562496997416,uci,0,riemannian,soft,0.1,riemannian_soft_lam0.1
0,True,1.0,"[237, 165]",0.018207913264632225,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.157059457035707,0.06330770999193192,0.002059665974229574,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
1,True,1.0,"[237, 88]",1.0538331381976604,1.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.870593499206375,0.10865145176649094,0.0020615829853340983,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
4,True,1.0,"[237, 70]",1.0801993533968925,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.636620561497533,0.16512012481689453,0.0020134590449742973,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
6,True,1.0,"[237, 194]",0.12993626296520233,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.495591171457234,0.29959017038345337,0.0020308339735493064,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
7,True,1.0,"[237, 181]",1.0105564650148153,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.209691794058189,0.04719137027859688,0.0019514170126058161,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
8,True,1.0,"[237, 91]",1.0317550860345364,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.555488957002121,0.06016281992197037,0.002033374970778823,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
9,True,1.0,"[237, 194]",1.8304912447929382,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.701115376775292,1.8476622104644775,0.001996624981984496,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
11,True,1.0,"[237, 19]",1.834781289100647,1.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.898047124355345,1.7428693771362305,0.002019040985032916,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
14,True,1.0,"[237, 70]",0.16358189284801483,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.608697822656296,0.3424997627735138,0.002003417001105845,uci,0,riemannian,soft,1.0,riemannian_soft_lam1.0
