seed,n_high_risk,n_abstain,pct_abstain,pct_certified_infeasible,pct_confirmed_blindspot,pct_unresolved
0,420,229,54.523809523809526,100.0,0.0,0.0
1,445,262,58.87640449438202,100.0,0.0,0.0
2,422,218,51.65876777251185,100.0,0.0,0.0
3,430,240,55.81395348837209,100.0,0.0,0.0
4,439,227,51.70842824601367,100.0,0.0,0.0
