dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
nhanes_real,1,0.05,545,age,0.05364837497472763,,0.8486582636833191,conformal_quantile,v3
nhanes_real,1,0.05,545,bmi,0.3865886628627777,,3.806025505065918,conformal_quantile,v3
nhanes_real,1,0.05,545,cholesterol,1.789422631263733,,23.14668846130371,conformal_quantile,v3
nhanes_real,1,0.05,545,diastolic_bp,0.27765655517578125,,4.102254390716553,conformal_quantile,v3
nhanes_real,1,0.05,545,glycemic_hba1c,0.038199424743652344,,0.6243138909339905,conformal_quantile,v3
nhanes_real,1,0.05,545,sex,,0.3908256880733945,0.48151257634162903,identity_rule_no_band,v3
nhanes_real,1,0.05,545,systolic_bp,0.5842224359512329,,6.624730110168457,conformal_quantile,v3
nhanes_real,1,0.1,545,age,0.12787628173828125,,0.8486582636833191,conformal_quantile,v3
nhanes_real,1,0.1,545,bmi,0.6314888000488281,,3.806025505065918,conformal_quantile,v3
nhanes_real,1,0.1,545,cholesterol,3.978860378265381,,23.14668846130371,conformal_quantile,v3
nhanes_real,1,0.1,545,diastolic_bp,0.5715789794921875,,4.102254390716553,conformal_quantile,v3
nhanes_real,1,0.1,545,glycemic_hba1c,0.0781223326921463,,0.6243138909339905,conformal_quantile,v3
nhanes_real,1,0.1,545,sex,,0.3908256880733945,0.48151257634162903,identity_rule_no_band,v3
nhanes_real,1,0.1,545,systolic_bp,1.0627838373184204,,6.624730110168457,conformal_quantile,v3
nhanes_real,1,0.25,545,age,0.3255462646484375,,0.8486582636833191,conformal_quantile,v3
nhanes_real,1,0.25,545,bmi,1.7442626953125,,3.806025505065918,conformal_quantile,v3
nhanes_real,1,0.25,545,cholesterol,10.350494384765625,,23.14668846130371,conformal_quantile,v3
nhanes_real,1,0.25,545,diastolic_bp,1.464019775390625,,4.102254390716553,conformal_quantile,v3
nhanes_real,1,0.25,545,glycemic_hba1c,0.20450592041015625,,0.6243138909339905,conformal_quantile,v3
nhanes_real,1,0.25,545,sex,,0.3908256880733945,0.48151257634162903,identity_rule_no_band,v3
nhanes_real,1,0.25,545,systolic_bp,2.69146728515625,,6.624730110168457,conformal_quantile,v3
nhanes_real,1,0.5,545,age,0.6985664367675781,,0.8486582636833191,conformal_quantile,v3
nhanes_real,1,0.5,545,bmi,3.3458003997802734,,3.806025505065918,conformal_quantile,v3
nhanes_real,1,0.5,545,cholesterol,19.2384033203125,,23.14668846130371,conformal_quantile,v3
nhanes_real,1,0.5,545,diastolic_bp,3.3114166259765625,,4.102254390716553,conformal_quantile,v3
nhanes_real,1,0.5,545,glycemic_hba1c,0.4218430519104004,,0.6243138909339905,conformal_quantile,v3
nhanes_real,1,0.5,545,sex,,0.3908256880733945,0.48151257634162903,identity_rule_no_band,v3
nhanes_real,1,0.5,545,systolic_bp,5.1166229248046875,,6.624730110168457,conformal_quantile,v3
nhanes_real,1,0.8,545,age,1.338954210281372,,0.8486582636833191,conformal_quantile,v3
nhanes_real,1,0.8,545,bmi,5.954540252685547,,3.806025505065918,conformal_quantile,v3
