dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
uci,0,0.99,36,oldpeak,3.1492300033569336,,0.8961578011512756,conformal_quantile,v3
uci,0,0.99,36,resting_bp,53.88252258300781,,14.120189666748047,conformal_quantile,v3
uci,0,0.99,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.99,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,1,0.95,36,age,5.549030303955078,,2.2024641036987305,conformal_quantile,v3
uci,1,0.95,36,cholesterol,109.31246185302734,,39.77437973022461,conformal_quantile,v3
uci,1,0.95,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.95,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.95,36,max_heart_rate,35.38081741333008,,16.464826583862305,conformal_quantile,v3
uci,1,0.95,36,oldpeak,2.418243408203125,,0.9350636005401611,conformal_quantile,v3
uci,1,0.95,36,resting_bp,29.855419158935547,,14.35723876953125,conformal_quantile,v3
uci,1,0.95,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.95,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.05,36,age,0.3727836608886719,,2.2024641036987305,conformal_quantile,v3
uci,1,0.05,36,cholesterol,3.3682022094726562,,39.77437973022461,conformal_quantile,v3
uci,1,0.05,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.05,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.05,36,max_heart_rate,2.5830116271972656,,16.464826583862305,conformal_quantile,v3
uci,1,0.05,36,oldpeak,0.06702882051467896,,0.9350636005401611,conformal_quantile,v3
uci,1,0.05,36,resting_bp,2.646240234375,,14.35723876953125,conformal_quantile,v3
uci,1,0.05,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.05,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.1,36,age,0.7855644226074219,,2.2024641036987305,conformal_quantile,v3
uci,1,0.1,36,cholesterol,4.024940490722656,,39.77437973022461,conformal_quantile,v3
uci,1,0.1,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.1,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.1,36,max_heart_rate,5.261741638183594,,16.464826583862305,conformal_quantile,v3
uci,1,0.1,36,oldpeak,0.18786558508872986,,0.9350636005401611,conformal_quantile,v3
uci,1,0.1,36,resting_bp,4.224765777587891,,14.35723876953125,conformal_quantile,v3
uci,1,0.1,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.1,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.25,36,age,1.2872676849365234,,2.2024641036987305,conformal_quantile,v3
uci,1,0.25,36,cholesterol,10.138587951660156,,39.77437973022461,conformal_quantile,v3
uci,1,0.25,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.25,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.25,36,max_heart_rate,9.16103744506836,,16.464826583862305,conformal_quantile,v3
uci,1,0.25,36,oldpeak,0.45846089720726013,,0.9350636005401611,conformal_quantile,v3
uci,1,0.25,36,resting_bp,6.512851715087891,,14.35723876953125,conformal_quantile,v3
uci,1,0.25,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.25,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.5,36,age,1.6665172576904297,,2.2024641036987305,conformal_quantile,v3
uci,1,0.5,36,cholesterol,24.329681396484375,,39.77437973022461,conformal_quantile,v3
uci,1,0.5,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.5,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.5,36,max_heart_rate,12.864990234375,,16.464826583862305,conformal_quantile,v3
uci,1,0.5,36,oldpeak,0.6136307716369629,,0.9350636005401611,conformal_quantile,v3
uci,1,0.5,36,resting_bp,13.14614486694336,,14.35723876953125,conformal_quantile,v3
uci,1,0.5,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.5,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.8,36,age,3.0218582153320312,,2.2024641036987305,conformal_quantile,v3
uci,1,0.8,36,cholesterol,55.23200988769531,,39.77437973022461,conformal_quantile,v3
uci,1,0.8,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.8,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.8,36,max_heart_rate,26.456497192382812,,16.464826583862305,conformal_quantile,v3
uci,1,0.8,36,oldpeak,1.1725658178329468,,0.9350636005401611,conformal_quantile,v3
uci,1,0.8,36,resting_bp,22.04499053955078,,14.35723876953125,conformal_quantile,v3
uci,1,0.8,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.8,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.9,36,age,3.7659549713134766,,2.2024641036987305,conformal_quantile,v3
uci,1,0.9,36,cholesterol,88.4950942993164,,39.77437973022461,conformal_quantile,v3
uci,1,0.9,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.9,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.9,36,max_heart_rate,32.344207763671875,,16.464826583862305,conformal_quantile,v3
uci,1,0.9,36,oldpeak,1.8450793027877808,,0.9350636005401611,conformal_quantile,v3
uci,1,0.9,36,resting_bp,26.934494018554688,,14.35723876953125,conformal_quantile,v3
uci,1,0.9,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.9,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,1,0.99,36,age,7.9249491691589355,,2.2024641036987305,conformal_quantile,v3
uci,1,0.99,36,cholesterol,238.62022399902344,,39.77437973022461,conformal_quantile,v3
uci,1,0.99,36,exercise_angina,,0.4166666666666667,0.46120962500572205,identity_rule_no_band,v3
uci,1,0.99,36,fasting_blood_sugar,,0.1111111111111111,0.3173893392086029,identity_rule_no_band,v3
uci,1,0.99,36,max_heart_rate,37.24237060546875,,16.464826583862305,conformal_quantile,v3
uci,1,0.99,36,oldpeak,3.850081443786621,,0.9350636005401611,conformal_quantile,v3
uci,1,0.99,36,resting_bp,34.4957275390625,,14.35723876953125,conformal_quantile,v3
uci,1,0.99,36,sex,,0.2777777777777778,0.4500639736652374,identity_rule_no_band,v3
uci,1,0.99,36,slope,,0.3888888888888889,0.5034555196762085,identity_rule_no_band,v3
uci,2,0.95,36,age,4.787047386169434,,1.615283727645874,conformal_quantile,v3
uci,2,0.95,36,cholesterol,98.27651977539062,,42.956993103027344,conformal_quantile,v3
uci,2,0.95,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.95,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.95,36,max_heart_rate,37.92898178100586,,14.20881462097168,conformal_quantile,v3
uci,2,0.95,36,oldpeak,1.5510693788528442,,0.839365541934967,conformal_quantile,v3
uci,2,0.95,36,resting_bp,43.02695846557617,,15.896270751953125,conformal_quantile,v3
uci,2,0.95,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.95,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.05,36,age,0.1523447036743164,,1.615283727645874,conformal_quantile,v3
uci,2,0.05,36,cholesterol,8.983043670654297,,42.956993103027344,conformal_quantile,v3
uci,2,0.05,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.05,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.05,36,max_heart_rate,1.0945243835449219,,14.20881462097168,conformal_quantile,v3
uci,2,0.05,36,oldpeak,0.15934661030769348,,0.839365541934967,conformal_quantile,v3
uci,2,0.05,36,resting_bp,0.09553337097167969,,15.896270751953125,conformal_quantile,v3
uci,2,0.05,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.05,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.1,36,age,0.29964447021484375,,1.615283727645874,conformal_quantile,v3
uci,2,0.1,36,cholesterol,13.524551391601562,,42.956993103027344,conformal_quantile,v3
uci,2,0.1,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.1,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.1,36,max_heart_rate,2.54058837890625,,14.20881462097168,conformal_quantile,v3
uci,2,0.1,36,oldpeak,0.23475268483161926,,0.839365541934967,conformal_quantile,v3
uci,2,0.1,36,resting_bp,0.764007568359375,,15.896270751953125,conformal_quantile,v3
uci,2,0.1,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.1,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.25,36,age,0.6850862503051758,,1.615283727645874,conformal_quantile,v3
uci,2,0.25,36,cholesterol,21.138622283935547,,42.956993103027344,conformal_quantile,v3
uci,2,0.25,36,exercise_angina,,0.3055555555555556,0.4409375786781311,identity_rule_no_band,v3
uci,2,0.25,36,fasting_blood_sugar,,0.16666666666666666,0.35692891478538513,identity_rule_no_band,v3
uci,2,0.25,36,max_heart_rate,5.0058746337890625,,14.20881462097168,conformal_quantile,v3
uci,2,0.25,36,oldpeak,0.49173247814178467,,0.839365541934967,conformal_quantile,v3
uci,2,0.25,36,resting_bp,4.597606658935547,,15.896270751953125,conformal_quantile,v3
uci,2,0.25,36,sex,,0.25,0.450144499540329,identity_rule_no_band,v3
uci,2,0.25,36,slope,,0.5555555555555556,0.5233472585678101,identity_rule_no_band,v3
uci,2,0.5,36,age,1.0973892211914062,,1.615283727645874,conformal_quantile,v3
uci,2,0.5,36,cholesterol,35.33826446533203,,42.956993103027344,conformal_quantile,v3
