dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v3,old_latent_pruning,0.95,846,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009148000041022897,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,847,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.00917983299586922,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,848,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009273583069443703,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,849,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008795041940174997,0.0,0.0,,"[3086, 821]",2.0,1.6975584030151367,True,True,True,True,False,False,-6.592847247284542,5.683386325836182,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,852,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008964333916082978,0.0,0.0,,"[3086, 1509]",2.0,2.0609915256500244,True,True,False,True,False,True,-7.109178772179444,6.532294750213623,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,854,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009390374994836748,0.0,0.0,,"[3086, 640]",2.0,1.436898112297058,True,True,False,False,False,True,-6.950462654207074,6.453559875488281,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,855,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.00887870800215751,0.0,0.0,,"[3086, 964]",2.0,0.8172366619110107,True,True,False,False,False,True,-6.573528777145923,2.4622702598571777,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,856,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009273417061194777,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,858,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009634124930016696,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,859,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009253458003513515,0.0,0.0,,"[3086, 462]",2.0,1.1786024570465088,True,True,False,True,False,False,-6.300496329862199,3.9825620651245117,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,861,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009397250018082559,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,862,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.011190040968358517,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,863,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.00960949994623661,0.0,0.0,,"[3086, 2613]",2.0,1.0522434711456299,False,False,False,False,False,False,-6.240476154068535,3.4289660453796387,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,864,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.00955875008367002,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,866,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.00919158395845443,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,875,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008902500034309924,0.0,0.0,,"[3086, 964]",2.0,1.7465405464172363,True,True,True,False,False,True,-6.814393591669004,6.419962406158447,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,876,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009510332951322198,0.0,0.0,,"[3086, 640]",2.0,2.597724199295044,False,False,False,False,False,False,-7.814992323504511,11.075663566589355,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,878,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.008934042067267,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,879,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008971083909273148,0.0,0.0,,"[3086, 1479]",2.0,0.9331626892089844,True,True,False,True,False,True,-6.624609872317425,3.1731820106506348,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,881,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009157708031125367,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,883,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.008971916977316141,0.0,0.0,,"[3086, 57]",2.0,1.8105168342590332,True,True,True,True,False,True,-7.596103504585459,9.559833526611328,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,884,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009809124981984496,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,888,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009299458004534245,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,891,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009301375015638769,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,892,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009179375017993152,0.0,0.0,,"[3086, 2301]",2.0,0.7249337434768677,True,True,False,True,False,False,-6.123515601663733,2.7232322692871094,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,895,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009240458952262998,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,896,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009394624968990684,0.0,0.0,,"[3086, 2970]",2.0,0.842950165271759,True,True,False,True,False,True,-6.479482412739786,2.9161198139190674,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,897,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009533207979984581,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,898,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.00912558299023658,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,901,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009978124988265336,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,902,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009263624902814627,,,,,,,,,,,,,,,,,,
