dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort
nhanes_real,2,v3,dsr_full_euclidean,0.05,646,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,repair,failed,0.019329624949023128,False,False,True,False,0.0,3.0,"step 1 still violates after 3 repair iterations (triggered by {'immutable': False, 'non_decreasing': False, 'age_horizon': True, 'directional': False})",,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,647,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.014302207971923053,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,651,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.015119375078938901,,,,,0.0,0.0,,"[3086, 1300]",2.0,1.058355450630188,False,False,False,False,False,False,-6.453195110832395,2.940782308578491
nhanes_real,2,v3,dsr_full_euclidean,0.05,653,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.014763499959371984,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,656,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.015977791044861078,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,659,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.016164332977496088,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,661,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.012853541993536055,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,663,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.016704291105270386,,,,,0.0,0.0,,"[3086, 962]",2.0,0.5127963423728943,False,False,False,False,False,False,-8.05572720792428,1.6882545948028564
nhanes_real,2,v3,dsr_full_euclidean,0.05,664,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.01625524996779859,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,666,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.018016999936662614,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,669,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.013515457976609468,,,,,0.0,0.0,,"[3086, 2990]",2.0,0.7221818566322327,False,False,False,False,False,False,-7.569110727729026,2.8389875888824463
nhanes_real,2,v3,dsr_full_euclidean,0.05,672,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.017005415982566774,,,,,0.0,0.0,,"[3086, 2270]",2.0,0.316103994846344,False,False,False,False,False,False,-6.04156636133288,0.8051425814628601
nhanes_real,2,v3,dsr_full_euclidean,0.05,676,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,repair,failed,0.01802258298266679,False,True,False,False,0.0,3.0,"step 1 still violates after 3 repair iterations (triggered by {'immutable': False, 'non_decreasing': True, 'age_horizon': False, 'directional': False})",,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,677,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,False,True,search,,0.018780708080157638,,,,,,,,,,,,,,,,,,
nhanes_real,2,v3,dsr_full_euclidean,0.05,680,decoded_naive,decoded_banded,euclidean,True,234925,246880,0.008890624972991645,1.2950842089485377,0.0008394159376621246,True,False,,clean,0.014319041976705194,,,,,0.0,0.0,,"[3086, 1400]",2.0,0.45431652665138245,False,False,False,False,False,False,-6.46951521612913,1.4641077518463135
