dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v2,dsr_c1,0.95,668,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004233165993355215,0.0,0.0,,"[3086, 2397]",2.0,0.5329969525337219,False,False,False,False,False,False,-6.21701033839713,1.8069136142730713,,,,
nhanes_real,0,v2,dsr_c1,0.95,671,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004055458004586399,0.0,0.0,,"[3086, 1156]",2.0,0.5668768882751465,False,False,False,False,False,False,-6.208598135359712,1.3745357990264893,,,,
nhanes_real,0,v2,dsr_c1,0.95,679,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.003941999981179833,0.0,0.0,,"[3086, 1973]",2.0,0.530246376991272,False,False,False,False,False,False,-6.277627358285469,1.881300449371338,,,,
nhanes_real,0,v2,dsr_c1,0.95,684,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.007854291936382651,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,687,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0038161660777404904,0.0,0.0,,"[3086, 57]",2.0,1.5098860263824463,False,False,False,False,False,False,-6.457406579965861,3.492940902709961,,,,
nhanes_real,0,v2,dsr_c1,0.95,690,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.003963917028158903,0.0,0.0,,"[3086, 1973]",2.0,0.699539303779602,False,False,False,False,False,False,-6.280336117159461,1.740043044090271,,,,
nhanes_real,0,v2,dsr_c1,0.95,694,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.003747291979379952,0.0,0.0,,"[3086, 1182, 964]",3.0,1.739293396472931,False,False,False,False,False,False,-6.5252028895168435,6.265977382659912,,,,
nhanes_real,0,v2,dsr_c1,0.95,695,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004968666005879641,0.0,0.0,,"[3086, 61]",2.0,0.2672671973705292,False,False,False,False,False,False,-6.3757815724334,0.4891820549964905,,,,
nhanes_real,0,v2,dsr_c1,0.95,698,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.00483766698744148,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,699,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.004512209095992148,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,700,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.004111208021640778,0.0,0.0,,"[3086, 1679]",2.0,0.2551574110984802,False,False,False,False,False,False,-6.283484004193468,0.8175404071807861,,,,
nhanes_real,0,v2,dsr_c1,0.95,703,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.003837333060801029,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,dsr_c1,0.95,705,decoded_naive,decoded_naive,riemannian,False,233433,246880,0.005742790992371738,0.30238545895554125,0.00041699991561472416,False,True,search,,0.00406566692981869,,,,,,,,,,,,,,,,,,
