success,real_cvr_hop,real_cvr_endpoint,latency_sec,dataset,seed,patient_idx
True,True,True,0.00178304105065763,nhanes_real,0,9
True,True,True,0.0018197500612586737,nhanes_real,0,11
True,True,True,0.0017842089291661978,nhanes_real,0,12
True,True,True,0.001789415953680873,nhanes_real,0,13
True,True,True,0.0018226249376311898,nhanes_real,0,14
True,True,True,0.0017845419934019446,nhanes_real,0,17
True,True,True,0.0018201250350102782,nhanes_real,0,21
True,True,True,0.0018055839464068413,nhanes_real,0,22
True,True,True,0.0017364580417051911,nhanes_real,0,23
True,True,True,0.00179854198358953,nhanes_real,0,26
True,True,True,0.001781583996489644,nhanes_real,0,30
True,True,True,0.001792415976524353,nhanes_real,0,31
True,True,True,0.0017638340359553695,nhanes_real,0,38
True,True,True,0.0017907919827848673,nhanes_real,0,39
True,True,True,0.0017757080495357513,nhanes_real,0,41
True,True,True,0.0019073330331593752,nhanes_real,0,42
True,True,True,0.0018195419106632471,nhanes_real,0,45
True,True,True,0.0019136249320581555,nhanes_real,0,47
True,True,True,0.0017605419270694256,nhanes_real,0,51
True,True,True,0.0017710000975057483,nhanes_real,0,53
True,True,True,0.001825417042709887,nhanes_real,0,54
True,True,True,0.0018069589277729392,nhanes_real,0,56
True,True,True,0.0017850419972091913,nhanes_real,0,60
True,True,True,0.0018112920224666595,nhanes_real,0,61
True,True,True,0.0018077499698847532,nhanes_real,0,62
True,True,True,0.001795999938622117,nhanes_real,0,63
True,True,True,0.00180154200643301,nhanes_real,0,64
True,True,True,0.0018188339890912175,nhanes_real,0,65
True,True,True,0.00170729192905128,nhanes_real,0,67
True,True,True,0.0018039169954136014,nhanes_real,0,68
True,True,True,0.0017528749303892255,nhanes_real,0,70
True,True,True,0.0017509169410914183,nhanes_real,0,72
True,True,True,0.0017476669745519757,nhanes_real,0,74
True,True,True,0.0017789999255910516,nhanes_real,0,76
True,True,True,0.0018191669369116426,nhanes_real,0,78
True,True,True,0.001789041911251843,nhanes_real,0,79
True,True,True,0.0017817079788073897,nhanes_real,0,80
True,True,True,0.0017979999538511038,nhanes_real,0,83
True,True,True,0.001790667069144547,nhanes_real,0,85
True,True,True,0.0017398340860381722,nhanes_real,0,87
True,True,True,0.0017445000121369958,nhanes_real,0,88
True,True,True,0.001733834040351212,nhanes_real,0,90
True,True,True,0.0017935419455170631,nhanes_real,0,97
True,True,True,0.0017574579687789083,nhanes_real,0,99
True,True,True,0.0017541669076308608,nhanes_real,0,100
True,True,True,0.001772125018760562,nhanes_real,0,105
True,True,True,0.001788416993804276,nhanes_real,0,107
True,True,True,0.0018356669461354613,nhanes_real,0,109
True,True,True,0.0017558750696480274,nhanes_real,0,113
True,True,True,0.0017599159618839622,nhanes_real,0,115
True,True,True,0.0017984170699492097,nhanes_real,0,118
True,True,True,0.0018078749999403954,nhanes_real,0,120
True,True,True,0.0018378749955445528,nhanes_real,0,122
True,True,True,0.0018291249871253967,nhanes_real,0,123
True,True,True,0.0018153340788558125,nhanes_real,0,124
True,True,True,0.0018342500552535057,nhanes_real,0,126
True,True,True,0.0018450409406796098,nhanes_real,0,127
True,True,True,0.001745249959640205,nhanes_real,0,129
True,True,True,0.0017774159787222743,nhanes_real,0,132
True,True,True,0.0017803750233724713,nhanes_real,0,133
True,True,True,0.0017687079962342978,nhanes_real,0,134
True,True,True,0.001732666976749897,nhanes_real,0,139
True,True,True,0.0017478748923167586,nhanes_real,0,140
True,True,True,0.0017433339962735772,nhanes_real,0,143
True,True,True,0.0017978750402107835,nhanes_real,0,144
True,True,True,0.0017904590349644423,nhanes_real,0,145
True,True,True,0.0018080419395118952,nhanes_real,0,147
True,True,True,0.0017745830118656158,nhanes_real,0,149
True,True,True,0.0021275830222293735,nhanes_real,0,150
True,True,True,0.0018772500334307551,nhanes_real,0,155
True,True,True,0.001839792006649077,nhanes_real,0,156
True,True,True,0.0017662920290604234,nhanes_real,0,158
True,True,True,0.0017994169611483812,nhanes_real,0,160
True,True,True,0.001756915939040482,nhanes_real,0,162
True,True,True,0.0017430420266464353,nhanes_real,0,163
True,True,True,0.0017674999544396996,nhanes_real,0,164
True,True,True,0.0017834169557318091,nhanes_real,0,166
True,True,True,0.0017657499993219972,nhanes_real,0,167
True,True,True,0.0017691249959170818,nhanes_real,0,168
True,True,True,0.001738124992698431,nhanes_real,0,171
True,True,True,0.0017430409789085388,nhanes_real,0,173
True,True,True,0.0017315000295639038,nhanes_real,0,174
True,True,True,0.0017368340631946921,nhanes_real,0,179
True,True,True,0.0017427500570192933,nhanes_real,0,180
True,True,True,0.0017547920579090714,nhanes_real,0,187
True,True,True,0.0017701660981401801,nhanes_real,0,188
True,True,True,0.0017501669935882092,nhanes_real,0,189
True,True,True,0.0017599579878151417,nhanes_real,0,191
True,True,True,0.0017604170134291053,nhanes_real,0,194
True,True,True,0.0016942920628935099,nhanes_real,0,195
True,True,True,0.0017667500069364905,nhanes_real,0,196
True,True,True,0.0017530419863760471,nhanes_real,0,197
True,True,True,0.001720709027722478,nhanes_real,0,198
True,True,True,0.001754750031977892,nhanes_real,0,199
True,True,True,0.0017602089792490005,nhanes_real,0,200
True,True,True,0.0017838330240920186,nhanes_real,0,201
True,True,True,0.0017588749760761857,nhanes_real,0,204
True,True,True,0.00179704197216779,nhanes_real,0,208
True,True,True,0.0017156250542029738,nhanes_real,0,212
True,True,True,0.0017087080050259829,nhanes_real,0,214
True,True,True,0.0017823749221861362,nhanes_real,0,215
True,True,True,0.0017040000529959798,nhanes_real,0,218
True,True,True,0.0017505420837551355,nhanes_real,0,219
True,True,True,0.0017526670126244426,nhanes_real,0,220
True,True,True,0.0017026669811457396,nhanes_real,0,223
True,True,True,0.0017425839323550463,nhanes_real,0,224
True,True,True,0.001789166941307485,nhanes_real,0,226
True,True,True,0.0018017080146819353,nhanes_real,0,229
True,True,True,0.0017139168921858072,nhanes_real,0,234
True,True,True,0.0017435409827157855,nhanes_real,0,235
True,True,True,0.0017275840509682894,nhanes_real,0,236
True,True,True,0.0017760000191628933,nhanes_real,0,238
True,True,True,0.0017276250291615725,nhanes_real,0,239
True,True,True,0.0017708330415189266,nhanes_real,0,241
True,True,True,0.0017130839405581355,nhanes_real,0,242
True,True,True,0.0017733750864863396,nhanes_real,0,245
True,True,True,0.0018415830563753843,nhanes_real,0,246
True,True,True,0.0017473329789936543,nhanes_real,0,247
True,True,True,0.001778332982212305,nhanes_real,0,249
True,True,True,0.0017722920747473836,nhanes_real,0,250
True,True,True,0.0017207079799845815,nhanes_real,0,254
True,True,True,0.0017139590345323086,nhanes_real,0,255
True,True,True,0.0017614170210435987,nhanes_real,0,256
True,True,True,0.0017401250079274178,nhanes_real,0,257
True,True,True,0.0017354580340906978,nhanes_real,0,264
True,True,True,0.002366625005379319,nhanes_real,0,265
True,True,True,0.0020618749549612403,nhanes_real,0,267
True,True,True,0.0018847920000553131,nhanes_real,0,270
True,True,True,0.001967458054423332,nhanes_real,0,273
True,True,True,0.001791624934412539,nhanes_real,0,278
True,True,True,0.0018146670190617442,nhanes_real,0,281
True,True,True,0.0017781660426408052,nhanes_real,0,282
True,True,True,0.001764416927471757,nhanes_real,0,286
True,True,True,0.0017717910232022405,nhanes_real,0,291
True,True,True,0.0017552919453009963,nhanes_real,0,292
True,True,True,0.0017786250682547688,nhanes_real,0,293
True,True,True,0.0017804999370127916,nhanes_real,0,296
True,True,True,0.001802167040295899,nhanes_real,0,297
True,True,True,0.0019073749426752329,nhanes_real,0,298
True,True,True,0.0017895419150590897,nhanes_real,0,300
True,True,True,0.001788875088095665,nhanes_real,0,303
True,True,True,0.0017863750690594316,nhanes_real,0,304
True,True,True,0.0017605000175535679,nhanes_real,0,306
True,True,True,0.0017794161103665829,nhanes_real,0,308
True,True,True,0.0017992079956457019,nhanes_real,0,312
True,True,True,0.0017916250508278608,nhanes_real,0,313
True,True,True,0.0018045000033453107,nhanes_real,0,314
True,True,True,0.0017601250438019633,nhanes_real,0,316
True,True,True,0.0017929159803315997,nhanes_real,0,317
True,True,True,0.001786625012755394,nhanes_real,0,318
True,True,True,0.0017759579932317138,nhanes_real,0,320
True,True,True,0.0017669170629233122,nhanes_real,0,323
True,True,True,0.0017487499862909317,nhanes_real,0,325
True,True,True,0.0018117500003427267,nhanes_real,0,327
True,True,True,0.0018077499698847532,nhanes_real,0,328
True,True,True,0.0017267080256715417,nhanes_real,0,330
True,True,True,0.0019586250418797135,nhanes_real,0,331
True,True,True,0.001803291030228138,nhanes_real,0,332
True,True,True,0.0017787499818950891,nhanes_real,0,335
True,True,True,0.001845250022597611,nhanes_real,0,338
True,True,True,0.0017458329675719142,nhanes_real,0,339
True,True,True,0.0017408330459147692,nhanes_real,0,344
True,True,True,0.0017947079613804817,nhanes_real,0,348
True,True,True,0.0017832500161603093,nhanes_real,0,349
True,True,True,0.0018251249566674232,nhanes_real,0,351
True,True,True,0.0018029999919235706,nhanes_real,0,353
True,True,True,0.0017638750141486526,nhanes_real,0,356
True,True,True,0.0018211660208180547,nhanes_real,0,358
True,True,True,0.0017733749700710177,nhanes_real,0,360
True,True,True,0.0018044590251520276,nhanes_real,0,361
True,True,True,0.0018343329429626465,nhanes_real,0,362
True,True,True,0.0018284170655533671,nhanes_real,0,363
True,True,True,0.0018056250410154462,nhanes_real,0,368
True,True,True,0.0017484580166637897,nhanes_real,0,371
True,True,True,0.0019356670090928674,nhanes_real,0,374
True,True,True,0.002012041979469359,nhanes_real,0,375
True,True,True,0.001862625009380281,nhanes_real,0,386
True,True,True,0.001728666014969349,nhanes_real,0,392
True,True,True,0.0017618749989196658,nhanes_real,0,398
True,True,True,0.0018100420711562037,nhanes_real,0,400
True,True,True,0.0017826249822974205,nhanes_real,0,401
True,True,True,0.0017583750886842608,nhanes_real,0,402
True,True,True,0.001790915965102613,nhanes_real,0,403
True,True,True,0.0017404590034857392,nhanes_real,0,410
True,True,True,0.0017538330284878612,nhanes_real,0,411
True,True,True,0.0017950839828699827,nhanes_real,0,412
True,True,True,0.001718916930258274,nhanes_real,0,416
True,True,True,0.0017968750325962901,nhanes_real,0,417
True,True,True,0.0017681668978184462,nhanes_real,0,418
True,True,True,0.0018182500498369336,nhanes_real,0,419
True,True,True,0.0017697089351713657,nhanes_real,0,420
True,True,True,0.001786417094990611,nhanes_real,0,421
True,True,True,0.001758459024131298,nhanes_real,0,422
True,True,True,0.001769291004166007,nhanes_real,0,424
True,True,True,0.0017758330795913935,nhanes_real,0,426
True,True,True,0.0017652499955147505,nhanes_real,0,427
True,True,True,0.001740667037665844,nhanes_real,0,428
True,True,True,0.001737041980959475,nhanes_real,0,429
True,True,True,0.0017552500357851386,nhanes_real,0,430
True,True,True,0.0017672079848125577,nhanes_real,0,431
True,True,True,0.0017899579834192991,nhanes_real,0,433
True,True,True,0.0017561250133439898,nhanes_real,0,434
True,True,True,0.001761208986863494,nhanes_real,0,436
True,True,True,0.001805791980586946,nhanes_real,0,437
True,True,True,0.0018168330425396562,nhanes_real,0,444
True,True,True,0.0017518340609967709,nhanes_real,0,446
True,True,True,0.0017994169611483812,nhanes_real,0,448
True,True,True,0.0017794580198824406,nhanes_real,0,449
True,True,True,0.0017715840367600322,nhanes_real,0,452
True,True,True,0.0017571670468896627,nhanes_real,0,454
True,True,True,0.001736750011332333,nhanes_real,0,458
True,True,True,0.0018064589239656925,nhanes_real,0,459
True,True,True,0.0017698339652270079,nhanes_real,0,460
True,True,True,0.0017908749869093299,nhanes_real,0,461
True,True,True,0.001742459018714726,nhanes_real,0,463
True,True,True,0.0018396250670775771,nhanes_real,0,464
True,True,True,0.0017834589816629887,nhanes_real,0,466
True,True,True,0.0017922919942066073,nhanes_real,0,468
True,True,True,0.0018536249408498406,nhanes_real,0,469
True,True,True,0.0017343750223517418,nhanes_real,0,475
True,True,True,0.001788209076039493,nhanes_real,0,476
True,True,True,0.001797541044652462,nhanes_real,0,477
True,True,True,0.0017554169753566384,nhanes_real,0,482
True,True,True,0.001733875018544495,nhanes_real,0,483
True,True,True,0.001754040946252644,nhanes_real,0,484
True,True,True,0.0017960419645532966,nhanes_real,0,489
True,True,True,0.001786625012755394,nhanes_real,0,490
True,True,True,0.0017927499720826745,nhanes_real,0,491
True,True,True,0.0017789590638130903,nhanes_real,0,497
True,True,True,0.001746875001117587,nhanes_real,0,502
True,True,True,0.0018084170296788216,nhanes_real,0,509
True,True,True,0.0017923340201377869,nhanes_real,0,516
True,True,True,0.0017915830248966813,nhanes_real,0,518
True,True,True,0.0017590000061318278,nhanes_real,0,521
True,True,True,0.0017371249850839376,nhanes_real,0,524
True,True,True,0.0017929590540006757,nhanes_real,0,527
True,True,True,0.0018022910226136446,nhanes_real,0,529
True,True,True,0.0018429590854793787,nhanes_real,0,530
True,True,True,0.0017762499628588557,nhanes_real,0,531
True,True,True,0.0017748330719769,nhanes_real,0,535
True,True,True,0.0017645840998739004,nhanes_real,0,536
True,True,True,0.0018426250899210572,nhanes_real,0,537
True,True,True,0.001913582906126976,nhanes_real,0,544
True,True,True,0.0017707919469103217,nhanes_real,0,549
True,True,True,0.0017859580693766475,nhanes_real,0,550
True,True,True,0.0017628750065341592,nhanes_real,0,555
True,True,True,0.0017580419080331922,nhanes_real,0,556
True,True,True,0.0018656249158084393,nhanes_real,0,557
True,True,True,0.001846708939410746,nhanes_real,0,558
True,True,True,0.0018804579740390182,nhanes_real,0,562
True,True,True,0.0017608749913051724,nhanes_real,0,564
True,True,True,0.0018114580307155848,nhanes_real,0,567
True,True,True,0.001780083985067904,nhanes_real,0,568
True,True,True,0.0017474170308560133,nhanes_real,0,569
True,True,True,0.001768167014233768,nhanes_real,0,579
True,True,True,0.0017802079673856497,nhanes_real,0,580
True,True,True,0.00177800003439188,nhanes_real,0,582
True,True,True,0.0017445840639993548,nhanes_real,0,585
True,True,True,0.001840457902289927,nhanes_real,0,586
True,True,True,0.0018237500917166471,nhanes_real,0,587
True,True,True,0.0018309579463675618,nhanes_real,0,590
True,True,True,0.001797082950361073,nhanes_real,0,594
True,True,True,0.0018059579888358712,nhanes_real,0,599
True,True,True,0.001783333020284772,nhanes_real,0,600
True,True,True,0.0017924160929396749,nhanes_real,0,601
True,True,True,0.0018710000440478325,nhanes_real,0,602
True,True,True,0.0017212090315297246,nhanes_real,0,603
True,True,True,0.0018174160504713655,nhanes_real,0,605
True,True,True,0.0017646250780671835,nhanes_real,0,607
True,True,True,0.0017340000486001372,nhanes_real,0,613
True,True,True,0.0018158339662477374,nhanes_real,0,614
True,True,True,0.0017933340277522802,nhanes_real,0,616
True,True,True,0.0017816670006141067,nhanes_real,0,618
True,True,True,0.001769291004166007,nhanes_real,0,620
True,True,True,0.0018021250143647194,nhanes_real,0,621
True,True,True,0.001812624977901578,nhanes_real,0,624
True,True,True,0.0018117500003427267,nhanes_real,0,627
True,True,True,0.0017906250432133675,nhanes_real,0,628
True,True,True,0.0017787079559639096,nhanes_real,0,629
True,True,True,0.0018146249931305647,nhanes_real,0,630
True,True,True,0.0018083330942317843,nhanes_real,0,631
True,True,True,0.001769999973475933,nhanes_real,0,633
True,True,True,0.0018114999402314425,nhanes_real,0,634
True,True,True,0.0017527920426800847,nhanes_real,0,635
True,True,True,0.0017524169525131583,nhanes_real,0,637
True,True,True,0.001915083033964038,nhanes_real,0,642
True,True,True,0.0017452089814469218,nhanes_real,0,643
True,True,True,0.0017887080321088433,nhanes_real,0,644
True,True,True,0.001789625035598874,nhanes_real,0,647
True,True,True,0.001764291082508862,nhanes_real,0,655
