seed,n_high_risk,n_abstain,pct_abstain,pct_certified_infeasible,pct_confirmed_blindspot,pct_unresolved
0,420,264,62.857142857142854,99.62121212121212,0.0,0.3787878787878788
1,445,301,67.64044943820225,99.66777408637874,0.0,0.33222591362126247
2,422,253,59.95260663507109,98.02371541501977,0.0,1.976284584980237
3,430,268,62.325581395348834,97.76119402985074,0.0,2.2388059701492535
4,439,258,58.76993166287016,97.67441860465117,0.0,2.3255813953488373
