cell,success_rate_mean,success_rate_std,decoded_cvr_hop_mean,decoded_cvr_hop_std,decoded_cvr_endpoint_mean,decoded_cvr_endpoint_std,kde_mean,kde_std,effort_mean,effort_std,latency_mean,latency_std,cvr_hard_mean,cvr_hard_std
euclidean_hard,100.0,0.0,82.67236718458979,9.23650086495571,79.17082558556129,11.264331506946021,-7.571997608803502,0.016252370513584746,2.5372426462668174,0.31823379362547666,0.0024734091688573103,7.664580374609647e-05,,
euclidean_none,100.0,0.0,91.31708007424463,4.281831517391089,91.17109467278478,3.9754854280317273,-7.603657001442902,0.02283873197321413,1.4309658063648734,0.16061718172460132,0.003225100550341424,0.00010911520470564599,,
euclidean_soft_lam0.1,100.0,0.0,88.2505285791427,6.706344294638161,87.61667743434265,7.051225742810071,-7.599014881794321,0.023081260410672245,1.5703105827571686,0.16891363437378215,0.003321793978222752,0.00022090663006943487,,
euclidean_soft_lam1.0,100.0,0.0,73.28157256359871,10.278621064360287,60.68813307200609,18.99784726176549,-7.561284775604284,0.019862675529776417,3.497786895121726,0.47414106913029674,0.003279695218152652,0.00016619432541090123,,
euclidean_soft_lam10.0,100.0,0.0,73.90366649485838,10.45396163310127,61.03001341388644,19.362008853442706,-7.561770044687276,0.020147045342830815,3.649710467801202,0.5216214060146555,0.0031545352740288573,5.950604074029511e-05,,
euclidean_soft_lam100.0,100.0,0.0,73.90366649485838,10.45396163310127,61.03001341388644,19.362008853442706,-7.561770044687276,0.020147045342830815,3.649710467801202,0.5216214060146555,0.0032521858188346046,0.00014374305545032982,,
riemannian_hard,100.0,0.0,82.14504443358605,8.859730357321606,78.09483286933931,10.374067824833284,-7.576763550851799,0.015304931741785913,2.5701288667884032,0.3535551658735427,0.002538463619513773,4.6554985994288036e-05,,
riemannian_none,100.0,0.0,92.04029776566885,4.245770974667924,91.57522404512068,4.198423154483,-7.603735020486075,0.0202185314591072,1.4467921055237978,0.16632089139448145,0.0034548662300889904,7.982877295268715e-05,,
riemannian_soft_lam0.1,100.0,0.0,86.68068320799424,7.675503648797642,85.1078125595345,8.887883036209951,-7.5980485746927355,0.01877900272858348,1.7118532583348014,0.22891923504190226,0.003426774075689408,0.00042291179737901095,,
riemannian_soft_lam1.0,100.0,0.0,74.62782320020355,10.661021488156639,61.474678934141046,18.742906168704973,-7.566752581004122,0.016758526161476654,3.606440364848331,0.5141244390694178,0.003279631110455977,0.00012805465092533537,,
riemannian_soft_lam10.0,100.0,0.0,75.21320514844248,10.43578649390494,62.06006088237999,18.418513903522225,-7.5662193561971645,0.017379335200437437,3.703757516559243,0.527297318252343,0.0031835434410407023,4.99011268753898e-05,,
riemannian_soft_lam100.0,100.0,0.0,75.21320514844248,10.43578649390494,62.06006088237999,18.418513903522225,-7.5662193561971645,0.017379335200437437,3.703757516559243,0.527297318252343,0.0032004759086257132,2.364398452745651e-05,,
DiCE,97.22289982516308,1.419862805513588,,,100.0,0.0,-9.606953430770602,0.08361263059840508,5.263766967228054,0.09533302840532108,0.0023298354927275434,0.000184833971107527,100.0,0.0
FACE,100.0,0.0,,,91.62288988791707,2.3464652721226713,-8.120901252009805,0.04130218587261316,6.066681184895145,0.062113682152090934,0.04521490195520277,0.000626981344904538,78.8840517389971,4.760431402155343
GrowingSpheres,95.97942990075455,1.3551457880671054,,,100.0,0.0,-10.059241183895498,0.14562344970522872,5.391395010286497,0.13505153588148244,0.0007450205300415726,3.849760787207574e-05,100.0,0.0
