patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
0,True,1.0,"[237, 207]",0.9194536805152893,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.4101860110901425,3.3691463470458984,0.0012072920217178762,uci,0,riemannian,hard,,riemannian_hard
1,False,,,,,,,,,,0.0011816250043921173,uci,0,riemannian,hard,,riemannian_hard
4,True,1.0,"[237, 161]",0.8738890290260315,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.303406877667068,3.5469260215759277,0.0010724999592639506,uci,0,riemannian,hard,,riemannian_hard
6,True,1.0,"[237, 161]",1.3448638916015625,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.343474617182357,5.049600601196289,0.0010964999673888087,uci,0,riemannian,hard,,riemannian_hard
7,True,1.0,"[237, 207]",0.8969459533691406,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.394522087083571,3.3281660079956055,0.0010484589729458094,uci,0,riemannian,hard,,riemannian_hard
8,True,1.0,"[237, 135]",1.6713430881500244,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.315851098130066,6.329134464263916,0.001033750013448298,uci,0,riemannian,hard,,riemannian_hard
9,False,,,,,,,,,,0.001055500004440546,uci,0,riemannian,hard,,riemannian_hard
11,False,,,,,,,,,,0.0011237089638598263,uci,0,riemannian,hard,,riemannian_hard
14,True,1.0,"[237, 48]",1.5056812763214111,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.258630718253631,5.841815948486328,0.0010051249992102385,uci,0,riemannian,hard,,riemannian_hard
16,True,1.0,"[237, 197]",1.46036696434021,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-7.385148320997476,5.726447105407715,0.0010233339853584766,uci,0,riemannian,hard,,riemannian_hard
