dataset,seed,patient_idx,method,success,latency_sec,cvr_hard,cvr_full,effort,kde
uci,0,0,DiCE,True,0.0070444580051116645,1.0,1.0,7.371255874633789,-14.252644114034508
uci,0,0,FACE,True,0.006472665991168469,0.0,0.0,11.468847274780273,-6.55332626837701
uci,0,0,GrowingSpheres,True,0.0014765830128453672,1.0,1.0,9.01280895784381,-13.11770290059152
uci,0,1,DiCE,True,0.0063621660228818655,1.0,1.0,11.364034652709961,-11.074526191644733
uci,0,1,FACE,True,0.003421666973736137,1.0,1.0,5.835699081420898,-7.36831913687354
uci,0,1,GrowingSpheres,False,0.0012630000128410757,,,,
uci,0,4,DiCE,True,0.004462792014237493,1.0,1.0,9.071464538574219,-7.740681699535298
uci,0,4,FACE,True,0.0035653329687193036,1.0,1.0,10.140365600585938,-6.9651647014117595
uci,0,4,GrowingSpheres,False,0.0012694579781964421,,,,
uci,0,6,DiCE,False,0.01556766702560708,,,,
uci,0,6,FACE,True,0.0036755839828401804,1.0,1.0,14.147717475891113,-6.866234484052914
uci,0,6,GrowingSpheres,False,0.0012978329905308783,,,,
uci,0,7,DiCE,True,0.0025713329669088125,1.0,1.0,6.550660133361816,-9.521561826689373
uci,0,7,FACE,True,0.0034546669921837747,1.0,1.0,8.672419548034668,-7.360964065545445
uci,0,7,GrowingSpheres,True,0.001164750021416694,1.0,1.0,9.645431897487432,-16.19185793157481
uci,0,8,DiCE,True,0.003927792015019804,1.0,1.0,9.220826148986816,-14.871967620199861
uci,0,8,FACE,True,0.003772250027395785,1.0,1.0,10.912824630737305,-7.308438164522939
uci,0,8,GrowingSpheres,False,0.0012705419794656336,,,,
uci,0,9,DiCE,True,0.0032422920339740813,1.0,1.0,6.648592472076416,-11.992690247326285
uci,0,9,FACE,True,0.0034116249880753458,1.0,1.0,11.339191436767578,-6.721918648165303
uci,0,9,GrowingSpheres,True,0.0009614169830456376,1.0,1.0,5.859165540686307,-16.507510774916135
uci,0,11,DiCE,True,0.003781625011470169,1.0,1.0,7.171804904937744,-11.07223864101922
uci,0,11,FACE,True,0.003320709045510739,1.0,1.0,7.3129119873046875,-7.441061175780613
