cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
euclidean_hard,0,25,16,64.0,93.75,93.75,-7.257768475550066,3.9606666835024953,0.0009639166807755399
euclidean_hard,1,20,15,75.0,93.33333333333333,93.33333333333333,-7.529544681379255,0.7395962784687679,0.0009556915465509048
euclidean_hard,2,23,20,86.95652173913044,95.0,95.0,-7.215477049308279,1.4808762282133103,0.0011116232186474304
euclidean_hard,3,22,14,63.63636363636363,42.857142857142854,42.857142857142854,-7.268342308348044,0.5029128337545055,0.0010138788546265635
euclidean_hard,4,23,16,69.56521739130434,100.0,100.0,-7.699279492438169,1.8796550128608942,0.0009929747371326438
euclidean_none,0,25,25,100.0,96.0,96.0,-7.502614409992552,2.2712678116559983,0.001026839886326292
euclidean_none,1,20,20,100.0,95.0,95.0,-7.587361550359961,0.2820221625268459,0.0010067436582175547
euclidean_none,2,23,23,100.0,65.21739130434783,65.21739130434783,-7.267024627206739,0.9302008568268755,0.0010722320901391435
euclidean_none,3,22,22,100.0,31.818181818181817,31.818181818181817,-7.285391013099926,0.26327794358472933,0.001027685590088323
euclidean_none,4,23,23,100.0,95.65217391304348,95.65217391304348,-7.833721846036786,1.070094602263492,0.0010330995580221435
euclidean_soft_lam0.1,0,25,25,100.0,96.0,96.0,-7.471624916041608,2.3881698983907698,0.00102026676060626
euclidean_soft_lam0.1,1,20,20,100.0,95.0,95.0,-7.5632587470197326,0.463081044703722,0.00101075620041223
euclidean_soft_lam0.1,2,23,23,100.0,86.95652173913044,86.95652173913044,-7.2516814898895765,1.0824813616016637,0.0010609401734140347
euclidean_soft_lam0.1,3,22,22,100.0,36.36363636363637,36.36363636363637,-7.273229956160045,0.37713027957149525,0.0010638674112586637
euclidean_soft_lam0.1,4,23,23,100.0,100.0,100.0,-7.797471454425437,1.3790826667910037,0.0010405561314773696
euclidean_soft_lam1.0,0,25,25,100.0,100.0,100.0,-7.226485891447526,3.809504246711731,0.001008441727608384
euclidean_soft_lam1.0,1,20,20,100.0,100.0,100.0,-7.5212898822136625,0.7956371642649174,0.0010386375972302152
euclidean_soft_lam1.0,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.203735000314518,1.430066902352416,0.001046748044799309
euclidean_soft_lam1.0,3,22,22,100.0,59.09090909090909,59.09090909090909,-7.256035046005076,0.5671907395801761,0.0010374165457588183
euclidean_soft_lam1.0,4,23,23,100.0,100.0,100.0,-7.678597884415129,2.128967443238134,0.0010544275611881434
euclidean_soft_lam10.0,0,25,25,100.0,100.0,100.0,-7.218607241154742,3.857426731586456,0.001011209960561196
euclidean_soft_lam10.0,1,20,20,100.0,100.0,100.0,-7.5212898822136625,0.7956371642649174,0.0010167061875108149
euclidean_soft_lam10.0,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.203735000314518,1.430066902352416,0.001061903953086535
euclidean_soft_lam10.0,3,22,22,100.0,59.09090909090909,59.09090909090909,-7.256035046005076,0.5671907395801761,0.0010694810903673
euclidean_soft_lam10.0,4,23,23,100.0,100.0,100.0,-7.678597884415129,2.128967443238134,0.0010607047360794784
euclidean_soft_lam100.0,0,25,25,100.0,100.0,100.0,-7.218607241154742,3.857426731586456,0.0010314067243597882
euclidean_soft_lam100.0,1,20,20,100.0,100.0,100.0,-7.5212898822136625,0.7956371642649174,0.00102192910271692
euclidean_soft_lam100.0,2,23,23,100.0,95.65217391304348,95.65217391304348,-7.203735000314518,1.430066902352416,0.001035425829721326
euclidean_soft_lam100.0,3,22,22,100.0,59.09090909090909,59.09090909090909,-7.256035046005076,0.5671907395801761,0.0010530377727593953
euclidean_soft_lam100.0,4,23,23,100.0,100.0,100.0,-7.678597884415129,2.128967443238134,0.001040208259718848
riemannian_hard,0,25,16,64.0,93.75,93.75,-7.253009204484563,3.9802329698577523,0.00102537843864406
riemannian_hard,1,20,15,75.0,93.33333333333333,93.33333333333333,-7.529544681379255,0.7395962784687679,0.00099715414980888
riemannian_hard,2,23,20,86.95652173913044,95.0,95.0,-7.213562609115553,1.4889592617750167,0.0010267682221677219
